max_depth	min_split	ganancia_promedio
4	1000	54376000
4	800	54376000
4	600	54376000
4	400	54376000
4	200	54376000
4	100	54464000
4	50	54526000
4	20	54526000
4	10	54532000
6	1000	54606000
6	800	54544000
6	600	54496000
6	400	54494000
6	200	54426000
6	100	54388000
6	50	54128000
6	20	53666000
6	10	53450000
8	1000	55540000
8	800	55104000
8	600	55042000
8	400	55246000
8	200	55174000
8	100	55660000
8	50	53878000
8	20	52838000
8	10	51228000
10	1000	54734000
10	800	54676000
10	600	54458000
10	400	55062000
10	200	54676000
10	100	55014000
10	50	52764000
10	20	50968000
10	10	48162000
12	1000	54530000
12	800	54426000
12	600	54138000
12	400	55094000
12	200	54828000
12	100	55012000
12	50	50734000
12	20	46950000
12	10	43622000
14	1000	54614000
14	800	54426000
14	600	54446000
14	400	55040000
14	200	53724000
14	100	52124000
14	50	47828000
14	20	42348000
14	10	37964000
