fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20230430 135357	-0.317384413564287	5740	2849	14	5	49956000	1
20230430 135418	-0.682395569476648	5053	2424	9	5	50391000	2
20230430 135434	-0.458169154466304	4999	1290	5	5	51231000	3
20230430 135503	-0.81662905812409	2050	56	12	5	54078000	4
20230430 135524	-0.0170150642457882	7404	3304	11	5	49557000	5
20230430 135536	0.0942951177203213	6301	2244	19	5	0	6
20230430 135557	-0.961971155609353	3732	1753	8	5	52605000	7
20230430 135625	-0.874425867183891	6649	265	15	5	49350000	8
20230430 135641	-0.225711673694604	7704	568	6	5	50589000	9
20230430 135706	-0.704165950244559	3746	550	10	5	52911000	10
20230430 135727	-0.676042545982636	6822	2679	16	5	50565000	11
20230430 135750	-0.215972195282978	5422	1621	11	5	50706000	12
20230430 135814	-0.159611638868227	7819	1746	15	5	50589000	13
20230430 135833	-0.218332983305057	7195	1412	8	5	50589000	14
20230430 135854	-0.718950437987223	7448	3663	20	5	50196000	15
20230430 135910	0.0107251847162844	2702	823	6	5	0	16
20230430 135922	-0.0831679976360584	7999	3985	3	5	49557000	17
20230430 135945	-0.166434592196623	7986	3199	14	5	50082000	18
20230430 140013	-0.809283901585454	2618	1304	12	5	53277000	19
20230430 140025	-0.881348671991103	3360	13	3	5	50613000	20
20230430 140058	-0.934512532382535	1602	746	20	5	51198000	21
20230430 140135	-0.724282807990458	832	278	20	5	52830000	22
20230430 140159	-0.323117357249609	7997	1717	20	5	50589000	23
20230430 140224	-0.403363412151475	7967	210	11	5	49683000	24
20230430 140249	-0.874039157839584	5011	2503	20	5	50274000	25
20230430 140333	-0.548192275164649	3159	2	20	5	51519000	26
20230430 140424	-0.413230556840719	448	2	20	5	50424000	27
20230430 140452	-0.598779041952477	2828	1412	20	5	52359000	28
20230430 140505	-0.608505413400019	812	3	3	5	50613000	29
20230430 140537	-0.515955585727665	1409	696	14	5	51948000	30
20230430 140554	-0.802234437100547	1140	558	5	5	53541000	31
20230430 140622	-0.498668556204557	4358	2176	17	5	52476000	32
20230430 140704	-0.376374984185774	4724	2	20	5	50580000	33
20230430 140728	-0.999973076221848	7940	3960	12	5	49557000	34
20230430 140746	-0.523428996874799	6681	3335	5	5	49557000	35
20230430 140809	-0.565638403516822	7991	1783	10	5	50589000	36
20230430 140851	-0.999947002952604	4746	1	20	5	49785000	37
20230430 140916	-0.747324238019338	1877	1	9	5	52233000	38
20230430 140953	-0.831715501061305	8	4	13	5	41514000	39
20230430 141030	-0.789328656446684	3999	126	20	5	50583000	40
20230430 141103	-0.680975325793806	1755	602	20	5	53049000	41
20230430 141130	-0.592494746216846	5402	345	13	5	49221000	42
20230430 141152	-0.0511291852787095	7996	3881	15	5	49557000	43
20230430 141205	-0.813685503919535	8000	2745	3	5	49557000	44
20230430 141218	-0.812761164296194	2064	667	3	5	51117000	45
20230430 141247	-0.917003121455917	3522	477	13	5	52959000	46
20230430 141309	-0.999982486478147	1673	92	7	5	52542000	47
20230430 141335	-0.408946864694665	3652	1736	11	5	52635000	48
20230430 141354	-0.999859906664225	6098	1192	6	5	50823000	49
20230430 141429	-0.600051381547847	1039	511	20	5	51381000	50
20230430 141503	-0.794646878562052	1470	713	17	5	51363000	51
20230430 141529	-0.875816184559691	2438	163	10	5	51444000	52
20230430 141557	-0.70044058114017	1041	262	10	5	52461000	53
20230430 141628	-0.81341686505101	3370	1	12	5	51936000	54
20230430 141653	-0.945122089600829	8000	1752	20	5	50589000	55
20230430 141720	-0.531980602850136	3858	1664	12	5	52722000	56
20230430 141732	-0.686889603151306	7995	7	3	5	49626000	57
20230430 141755	-0.074972227765847	7995	2888	10	5	50184000	58
20230430 141822	-0.708844305933131	3676	1587	20	5	52791000	59
20230430 141839	-0.919687575098277	6759	3376	5	5	49557000	60
20230430 141909	-0.242579541043634	7574	4	14	5	49806000	61
20230430 141937	-0.450467078257579	2736	1362	20	5	53232000	62
20230430 142005	-0.415489856343037	4350	1225	14	5	52962000	63
20230430 142027	-0.458205034108151	7992	3833	20	5	49557000	64
20230430 142053	-0.50716538054462	7729	1118	20	5	50589000	65
20230430 142120	-0.999844389728974	3976	1985	13	5	52716000	66
20230430 142132	-0.99970721242064	4177	9	3	5	50613000	67
20230430 142159	-0.935021848302498	4607	1409	12	5	52845000	68
20230430 142211	-0.445821466453389	763	335	3	5	51117000	69
20230430 142258	-0.713440888372283	2286	3	20	5	51519000	70
20230430 142326	-0.652655009042073	3894	1216	13	5	52962000	71
20230430 142356	-0.806297119357741	1809	547	12	5	52281000	72
20230430 142427	-0.957399109965063	2655	1	12	5	51915000	73
20230430 142454	-0.922223369095662	3761	1700	20	5	52680000	74
20230430 142513	-0.490048875543216	3725	2	6	5	51216000	75
20230430 142528	-0.932151437997597	8000	79	5	5	49758000	76
20230430 142541	-0.321908528963171	4450	685	3	5	50544000	77
20230430 142604	-0.320272875495403	7450	3705	10	5	50211000	78
20230430 142621	-0.818620231661239	1150	3	5	5	52392000	79
20230430 142642	-0.691241573787599	2161	1078	6	5	52911000	80
20230430 142712	-0.658688803510931	2147	15	12	5	52242000	81
20230430 142729	-0.758353864789072	3975	1487	5	5	52845000	82
20230430 142746	-0.773236797846854	983	17	5	5	52737000	83
20230430 142803	-0.998417533756733	2071	1034	5	5	53265000	84
20230430 142828	-0.999832532851892	7398	1563	13	5	50589000	85
20230430 142904	-0.487337961323701	2000	185	20	5	52464000	86
20230430 142916	-0.363531940694457	7465	862	3	5	49557000	87
20230430 142944	-0.493915692739465	3642	1346	20	5	52962000	88
20230430 143012	-0.687268728756981	3056	1528	14	5	52689000	89
20230430 143042	-0.998801808013238	2075	1020	20	5	51942000	90
20230430 143103	-0.318285983798589	5303	2651	7	5	50238000	91
20230430 143146	-0.821767363763391	2326	4	20	5	51078000	92
20230430 143201	-0.996869978508578	871	425	4	5	53316000	93
20230430 143219	-0.714663338868104	960	480	5	5	54396000	94
20230430 143240	-0.118062133468747	7484	3741	11	5	50133000	95
20230430 143314	-0.343578045554158	1307	651	20	5	52077000	96
20230430 143339	-0.314192409453327	4871	609	11	5	51858000	97
20230430 143351	-0.289592627600206	5642	5	3	5	49626000	98
20230430 143408	-0.676506150395125	7998	3995	5	5	49557000	99
20230430 143433	-0.720847081121274	8000	1274	15	5	50589000	100
20230430 143450	-0.682336701791112	4314	127	5	5	51672000	101
20230430 143517	-0.911010866447426	3874	1288	12	5	52962000	102
20230430 143540	-0.998119497159071	6246	3119	20	5	49713000	103
20230430 143609	-0.394338851030935	2149	1070	16	5	52584000	104
20230430 143636	-0.348053088325146	3960	1877	17	5	51957000	105
20230430 143648	-0.740690920900173	6842	1253	3	5	49557000	106
20230430 143719	-0.725722260821317	2059	1029	19	5	52179000	107
20230430 143746	-0.667123567127133	4462	1380	20	5	52845000	108
